DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
ENSG00000175920,ENSG00000264281,,,,,ENSG00000196935
ENSG00000211644,ENSG00000260778,,,,,ENSG00000102755
ENSG00000281571,ENSG00000185630,,,,,ENSG00000211942
ENSG00000278771,ENSG00000237039,,,,,ENSG00000258365
ENSG00000241772,ENSG00000241782,,,,,ENSG00000134532
ENSG00000184986,ENSG00000103740,,,,,ENSG00000273361
ENSG00000222020,ENSG00000231680,,,,,ENSG00000212588
ENSG00000202382,ENSG00000266805,,,,,ENSG00000131849
ENSG00000127831,ENSG00000283674,,,,,ENSG00000254887
ENSG00000231351,ENSG00000272821,,,,,ENSG00000125740
ENSG00000267672,ENSG00000264017,,,,,ENSG00000164919
ENSG00000259207,ENSG00000131469,,,,,ENSG00000260742
ENSG00000276791,ENSG00000262814,,,,,ENSG00000231125
ENSG00000224442,ENSG00000154898,,,,,ENSG00000279145
ENSG00000120885,ENSG00000212385,,,,,ENSG00000267711
ENSG00000273599,ENSG00000134668,,,,,ENSG00000158113
ENSG00000257246,ENSG00000200953,,,,,ENSG00000110848
ENSG00000272256,ENSG00000102362,,,,,ENSG00000235908
ENSG00000258429,ENSG00000211611,,,,,ENSG00000188761
ENSG00000272677,ENSG00000240531,,,,,ENSG00000253676
ENSG00000237842,ENSG00000183298,,,,,
ENSG00000065534,ENSG00000120738,,,,,
ENSG00000222858,ENSG00000174715,,,,,
ENSG00000270210,ENSG00000221263,,,,,
ENSG00000265393,ENSG00000277602,,,,,
ENSG00000244710,ENSG00000165490,,,,,
ENSG00000232229,ENSG00000188243,,,,,
ENSG00000248791,ENSG00000211941,,,,,
ENSG00000163736,ENSG00000274422,,,,,
ENSG00000144677,ENSG00000238103,,,,,
ENSG00000228253,ENSG00000206651,,,,,
ENSG00000270802,ENSG00000099985,,,,,
ENSG00000073792,ENSG00000182389,,,,,
ENSG00000185245,ENSG00000237550,,,,,
ENSG00000279948,ENSG00000219395,,,,,
ENSG00000239040,ENSG00000274765,,,,,
ENSG00000207003,ENSG00000213326,,,,,
,ENSG00000163682,,,,,
,ENSG00000253043,,,,,
,ENSG00000018408,,,,,
,ENSG00000082781,,,,,
,ENSG00000250197,,,,,
,ENSG00000233411,,,,,
,ENSG00000261308,,,,,
,ENSG00000229117,,,,,
,ENSG00000213741,,,,,
,ENSG00000163584,,,,,
,ENSG00000214485,,,,,
,ENSG00000227063,,,,,
,ENSG00000137876,,,,,
,ENSG00000261461,,,,,
,ENSG00000212257,,,,,
,ENSG00000217416,,,,,
,ENSG00000064787,,,,,
,ENSG00000277007,,,,,
,ENSG00000226891,,,,,
,ENSG00000052126,,,,,
,ENSG00000223551,,,,,
,ENSG00000243466,,,,,
,ENSG00000267412,,,,,
,ENSG00000243175,,,,,
,ENSG00000259767,,,,,
,ENSG00000270878,,,,,
,ENSG00000070031,,,,,
,ENSG00000242737,,,,,
,ENSG00000163808,,,,,
,ENSG00000260920,,,,,
,ENSG00000244398,,,,,
,ENSG00000133112,,,,,
,ENSG00000239912,,,,,
,ENSG00000174586,,,,,
,ENSG00000279166,,,,,
,ENSG00000238231,,,,,
,ENSG00000197467,,,,,
,ENSG00000279549,,,,,
,ENSG00000186047,,,,,
,ENSG00000237135,,,,,
,ENSG00000251546,,,,,
,ENSG00000204177,,,,,
,ENSG00000134419,,,,,
